"date_str","blm","alm","blulm","total"
"2013-07-25",24,0,0,24
"2013-07-26",25,0,0,25
"2013-07-27",11,0,0,11
"2013-07-28",5,0,0,5
"2013-07-29",20,0,0,20
"2013-07-30",12,0,0,12
"2013-07-31",59,0,0,59
"2013-08-01",17,0,0,17
"2013-08-02",14,0,0,14
"2013-08-03",10,0,0,10
"2013-08-04",3,0,0,3
"2013-08-05",9,0,0,9
"2013-08-06",6,0,0,6
"2013-08-07",22,0,0,22
"2013-08-08",12,0,0,12
"2013-08-09",12,0,0,12
"2013-08-10",8,0,0,8
"2013-08-11",7,0,0,7
"2013-08-12",6,0,0,6
"2013-08-13",5,0,0,5
"2013-08-14",11,0,0,11
"2013-08-15",8,0,0,8
"2013-08-16",5,0,0,5
"2013-08-17",1,0,0,1
"2013-08-18",7,0,0,7
"2013-08-19",6,0,0,6
"2013-08-20",8,0,0,8
"2013-08-21",7,0,0,7
"2013-08-22",2,0,0,2
"2013-08-23",15,0,0,15
"2013-08-24",2,0,0,2
"2013-08-25",4,0,0,4
"2013-08-26",40,0,0,40
"2013-08-27",20,0,0,20
"2013-08-28",32,0,0,32
"2013-08-29",52,0,0,52
"2013-08-30",639,0,0,639
"2013-08-31",17,0,0,17
"2013-09-01",6,0,0,6
"2013-09-02",3,0,0,3
"2013-09-03",4,0,0,4
"2013-09-04",5,0,0,5
"2013-09-05",3,0,0,3
"2013-09-06",5,0,0,5
"2013-09-07",4,0,0,4
"2013-09-08",1,0,0,1
"2013-09-09",4,0,0,4
"2013-09-10",3,0,0,3
"2013-09-11",4,0,0,4
"2013-09-12",1,0,0,1
"2013-09-13",11,0,0,11
"2013-09-14",1,0,0,1
"2013-09-15",2,0,0,2
"2013-09-16",7,0,0,7
"2013-09-17",6,0,0,6
"2013-09-18",3,0,0,3
"2013-09-19",1,0,0,1
"2013-09-20",0,0,0,0
"2013-09-21",2,0,0,2
"2013-09-22",0,0,0,0
"2013-09-23",1,0,0,1
"2013-09-24",1,0,0,1
"2013-09-25",0,0,0,0
"2013-09-26",1,0,0,1
"2013-09-27",4,0,0,4
"2013-09-28",1,0,0,1
"2013-09-29",1,0,0,1
"2013-09-30",1,0,0,1
"2013-10-01",3,0,0,3
"2013-10-02",0,0,0,0
"2013-10-03",2,0,0,2
"2013-10-04",1,0,0,1
"2013-10-05",1,0,0,1
"2013-10-06",0,0,0,0
"2013-10-07",4,0,0,4
"2013-10-08",2,0,0,2
"2013-10-09",0,0,0,0
"2013-10-10",3,0,0,3
"2013-10-11",0,0,0,0
"2013-10-12",1,0,0,1
"2013-10-13",1,0,0,1
"2013-10-14",1,0,0,1
"2013-10-15",0,0,0,0
"2013-10-16",5,1,0,6
"2013-10-17",0,0,0,0
"2013-10-18",2,0,0,2
"2013-10-19",0,0,0,0
"2013-10-20",0,0,0,0
"2013-10-21",4,0,0,4
"2013-10-22",0,0,0,0
"2013-10-23",2,0,0,2
"2013-10-24",2,0,0,2
"2013-10-25",1,0,0,1
"2013-10-26",1,0,0,1
"2013-10-27",2,0,0,2
"2013-10-28",1,0,0,1
"2013-10-29",4,0,0,4
"2013-10-30",1,0,0,1
"2013-10-31",0,0,0,0
"2013-11-01",3,0,0,3
"2013-11-02",1,0,0,1
"2013-11-03",1,0,0,1
"2013-11-04",1,0,0,1
"2013-11-05",1,0,0,1
"2013-11-06",1,0,0,1
"2013-11-07",10,0,0,10
"2013-11-08",2,0,0,2
"2013-11-09",8,0,0,8
"2013-11-10",3,0,0,3
"2013-11-11",3,0,0,3
"2013-11-12",4,0,0,4
"2013-11-13",4,0,0,4
"2013-11-14",5,0,0,5
"2013-11-15",1,0,0,1
"2013-11-16",2,0,0,2
"2013-11-17",1,0,0,1
"2013-11-18",3,0,0,3
"2013-11-19",5,1,0,6
"2013-11-20",7,0,0,7
"2013-11-21",1,0,0,1
"2013-11-22",2,0,0,2
"2013-11-23",2,0,0,2
"2013-11-24",0,0,0,0
"2013-11-25",5,0,0,5
"2013-11-26",4,0,0,4
"2013-11-27",1,0,0,1
"2013-11-28",1,0,0,1
"2013-11-29",1,0,0,1
"2013-11-30",0,0,0,0
"2013-12-01",0,0,0,0
"2013-12-02",3,0,0,3
"2013-12-03",1,0,0,1
"2013-12-04",1,0,0,1
"2013-12-05",2,0,0,2
"2013-12-06",1,0,0,1
"2013-12-07",1,0,0,1
"2013-12-08",0,0,0,0
"2013-12-09",1,0,0,1
"2013-12-10",2,0,0,2
"2013-12-11",2,0,0,2
"2013-12-12",6,0,0,6
"2013-12-13",1,0,0,1
"2013-12-14",4,0,0,4
"2013-12-15",1,0,0,1
"2013-12-16",1,0,0,1
"2013-12-17",1,0,0,1
"2013-12-18",2,0,0,2
"2013-12-19",1,0,0,1
"2013-12-20",2,0,0,2
"2013-12-21",0,0,0,0
"2013-12-22",1,0,0,1
"2013-12-23",3,0,0,3
"2013-12-24",2,0,0,2
"2013-12-25",1,0,0,1
"2013-12-26",1,0,0,1
"2013-12-27",2,0,0,2
"2013-12-28",0,0,0,0
"2013-12-29",0,0,0,0
"2013-12-30",1,0,0,1
"2013-12-31",5,0,0,5
"2014-01-01",5,1,0,6
"2014-01-02",9,1,0,10
"2014-01-03",4,1,0,5
"2014-01-04",1,0,0,1
"2014-01-05",1,0,0,1
"2014-01-06",2,0,0,2
"2014-01-07",3,0,0,3
"2014-01-08",3,1,0,4
"2014-01-09",1,0,0,1
"2014-01-10",1,0,0,1
"2014-01-11",1,1,0,2
"2014-01-12",2,0,0,2
"2014-01-13",3,1,0,4
"2014-01-14",1,2,0,3
"2014-01-15",2,1,0,3
"2014-01-16",2,0,0,2
"2014-01-17",2,3,0,5
"2014-01-18",1,1,0,2
"2014-01-19",1,2,0,3
"2014-01-20",2,0,0,2
"2014-01-21",0,0,0,0
"2014-01-22",2,2,0,4
"2014-01-23",3,0,0,3
"2014-01-24",1,1,0,2
"2014-01-25",1,0,0,1
"2014-01-26",1,0,0,1
"2014-01-27",3,2,0,5
"2014-01-28",1,1,0,2
"2014-01-29",2,0,0,2
"2014-01-30",1,1,0,2
"2014-01-31",0,1,0,1
"2014-02-01",2,0,0,2
"2014-02-02",2,0,0,2
"2014-02-03",0,1,0,1
"2014-02-04",1,0,0,1
"2014-02-05",2,1,0,3
"2014-02-06",6,0,0,6
"2014-02-07",1,0,0,1
"2014-02-08",0,0,0,0
"2014-02-09",0,5,0,5
"2014-02-10",2,0,0,2
"2014-02-11",2,4,0,6
"2014-02-12",1,1,0,2
"2014-02-13",2,0,0,2
"2014-02-14",7,7,0,14
"2014-02-15",4,1,0,5
"2014-02-16",386,11,0,394
"2014-02-17",105,2,0,106
"2014-02-18",69,0,0,69
"2014-02-19",40,0,0,40
"2014-02-20",29,0,0,29
"2014-02-21",113,1,0,114
"2014-02-22",19,0,0,19
"2014-02-23",26,5,0,31
"2014-02-24",19,0,0,19
"2014-02-25",13,3,0,16
"2014-02-26",77,0,0,77
"2014-02-27",28,1,0,29
"2014-02-28",0,0,0,0
"2014-03-01",11,0,0,11
"2014-03-02",6,0,0,6
"2014-03-03",9,1,0,10
"2014-03-04",3,0,0,3
"2014-03-05",5,0,0,5
"2014-03-06",5,1,0,6
"2014-03-07",8,0,0,8
"2014-03-08",2,0,0,2
"2014-03-09",9,0,0,9
"2014-03-10",9,0,0,9
"2014-03-11",4,0,0,4
"2014-03-12",4,0,0,4
"2014-03-13",6,0,0,6
"2014-03-14",2,1,0,3
"2014-03-15",3,1,0,4
"2014-03-16",1,0,0,1
"2014-03-17",3,0,0,3
"2014-03-18",2,0,0,2
"2014-03-19",2,0,0,2
"2014-03-20",6,0,0,6
"2014-03-21",4,2,0,6
"2014-03-22",3,0,0,3
"2014-03-23",0,2,0,2
"2014-03-24",2,0,0,2
"2014-03-25",2,1,0,3
"2014-03-26",4,0,0,4
"2014-03-27",2,0,0,2
"2014-03-28",2,0,0,2
"2014-03-29",2,0,0,2
"2014-03-30",0,0,0,0
"2014-03-31",5,2,0,7
"2014-04-01",4,0,0,4
"2014-04-02",2,0,0,2
"2014-04-03",1,2,0,3
"2014-04-04",2,0,0,2
"2014-04-05",5,3,0,8
"2014-04-06",1,1,0,2
"2014-04-07",2,0,0,2
"2014-04-08",2,3,0,5
"2014-04-09",1,0,0,1
"2014-04-10",1,1,0,2
"2014-04-11",2,0,0,2
"2014-04-12",2,2,0,4
"2014-04-13",3,3,0,6
"2014-04-14",1,1,0,2
"2014-04-15",3,0,0,3
"2014-04-16",5,1,0,6
"2014-04-17",0,0,0,0
"2014-04-18",2,1,0,3
"2014-04-19",2,0,0,2
"2014-04-20",0,0,0,0
"2014-04-21",1,0,0,1
"2014-04-22",2,1,0,2
"2014-04-23",0,0,0,0
"2014-04-24",4,1,0,5
"2014-04-25",3,0,0,3
"2014-04-26",3,0,0,3
"2014-04-27",0,1,0,1
"2014-04-28",4,2,0,6
"2014-04-29",9,0,0,9
"2014-04-30",6,1,0,7
"2014-05-01",11,2,0,13
"2014-05-02",2,2,0,4
"2014-05-03",1,0,0,1
"2014-05-04",2,1,0,3
"2014-05-05",3,7,0,9
"2014-05-06",16,0,0,16
"2014-05-07",0,1,0,1
"2014-05-08",0,0,0,0
"2014-05-09",4,2,0,6
"2014-05-10",0,1,0,1
"2014-05-11",1,0,0,1
"2014-05-12",0,1,0,1
"2014-05-13",3,2,0,5
"2014-05-14",2,2,0,4
"2014-05-15",3,1,0,4
"2014-05-16",7,0,0,7
"2014-05-17",4,0,0,4
"2014-05-18",2,1,0,2
"2014-05-19",3,1,0,3
"2014-05-20",3,0,0,3
"2014-05-21",3,3,0,6
"2014-05-22",3,2,0,5
"2014-05-23",1,5,0,6
"2014-05-24",3,0,0,3
"2014-05-25",0,0,0,0
"2014-05-26",5,2,0,6
"2014-05-27",4,0,0,4
"2014-05-28",4,0,0,4
"2014-05-29",9,0,0,9
"2014-05-30",3,0,0,3
"2014-05-31",2,0,0,2
"2014-06-01",0,0,0,0
"2014-06-02",2,2,0,3
"2014-06-03",0,0,0,0
"2014-06-04",0,2,0,2
"2014-06-05",1,0,0,1
"2014-06-06",0,0,0,0
"2014-06-07",2,2,0,2
"2014-06-08",4,3,0,5
"2014-06-09",3,1,0,3
"2014-06-10",2,0,0,2
"2014-06-11",4,1,0,4
"2014-06-12",1,0,0,1
"2014-06-13",1,2,0,3
"2014-06-14",0,4,0,4
"2014-06-15",0,2,0,2
"2014-06-16",1,0,0,1
"2014-06-17",1,0,0,1
"2014-06-18",1,1,0,2
"2014-06-19",5,0,0,5
"2014-06-20",0,0,0,0
"2014-06-21",0,0,0,0
"2014-06-22",0,0,0,0
"2014-06-23",0,0,0,0
"2014-06-24",1,0,0,1
"2014-06-25",0,0,0,0
"2014-06-26",0,0,0,0
"2014-06-27",1,1,0,2
"2014-06-28",2,1,0,3
"2014-06-29",1,1,0,2
"2014-06-30",0,0,0,0
"2014-07-01",0,0,0,0
"2014-07-02",1,1,0,2
"2014-07-03",2,0,0,2
"2014-07-04",0,1,0,1
"2014-07-05",1,0,0,1
"2014-07-06",0,0,0,0
"2014-07-07",1,0,0,1
"2014-07-08",1,0,0,1
"2014-07-09",4,1,0,5
"2014-07-10",3,7,0,9
"2014-07-11",2,0,0,2
"2014-07-12",0,3,0,3
"2014-07-13",5,4,0,7
"2014-07-14",4,7,0,11
"2014-07-15",1,0,0,1
"2014-07-16",6,2,0,7
"2014-07-17",2,0,0,2
"2014-07-18",5,0,0,5
"2014-07-19",14,2,0,15
"2014-07-20",13,1,0,14
"2014-07-21",12,20,0,32
"2014-07-22",6,9,0,14
"2014-07-23",6,25,0,30
"2014-07-24",22,26,0,48
"2014-07-25",12,9,0,21
"2014-07-26",2,3,0,5
"2014-07-27",1,0,0,1
"2014-07-28",1,3,0,4
"2014-07-29",2,2,0,4
"2014-07-30",1,3,0,4
"2014-07-31",0,1,0,1
"2014-08-01",5,0,0,5
"2014-08-02",3,7,0,10
"2014-08-03",7,2,0,8
"2014-08-04",3,1,0,4
"2014-08-05",26,0,0,26
"2014-08-06",2,1,0,3
"2014-08-07",32,2,0,34
"2014-08-08",5,2,0,7
"2014-08-09",2,1,0,3
"2014-08-10",113,8,0,118
"2014-08-11",211,3,0,214
"2014-08-12",296,23,0,316
"2014-08-13",293,16,0,305
"2014-08-14",934,62,0,966
"2014-08-15",871,94,0,942
"2014-08-16",407,34,0,426
"2014-08-17",354,37,0,381
"2014-08-18",537,38,0,564
"2014-08-19",603,38,0,635
"2014-08-20",572,31,0,593
"2014-08-21",591,55,0,615
"2014-08-22",540,29,0,559
"2014-08-23",417,23,0,436
"2014-08-24",254,12,0,260
"2014-08-25",371,23,0,390
"2014-08-26",587,76,0,643
"2014-08-27",383,21,0,395
"2014-08-28",936,14,0,945
"2014-08-29",512,27,0,520
"2014-08-30",1580,20,0,1593
"2014-08-31",916,17,0,929
"2014-09-01",360,8,0,367
"2014-09-02",268,7,0,272
"2014-09-03",234,5,0,237
"2014-09-04",211,5,0,214
"2014-09-05",162,5,0,166
"2014-09-06",146,3,0,147
"2014-09-07",156,22,0,169
"2014-09-08",192,15,0,203
"2014-09-09",204,9,0,212
"2014-09-10",182,6,0,188
"2014-09-11",115,7,0,121
"2014-09-12",244,5,0,248
"2014-09-13",68,1,0,69
"2014-09-14",146,5,0,150
"2014-09-15",169,5,0,173
"2014-09-16",131,6,0,136
"2014-09-17",132,6,0,137
"2014-09-18",82,4,0,85
"2014-09-19",139,8,0,146
"2014-09-20",54,3,0,57
"2014-09-21",75,3,0,78
"2014-09-22",135,4,0,139
"2014-09-23",75,5,0,80
"2014-09-24",274,10,0,279
"2014-09-25",216,12,0,228
"2014-09-26",139,24,0,149
"2014-09-27",108,4,0,109
"2014-09-28",136,32,0,151
"2014-09-29",88,9,0,96
"2014-09-30",102,7,0,108
"2014-10-01",253,5,0,256
"2014-10-02",129,6,0,134
"2014-10-03",193,3,0,196
"2014-10-04",81,9,0,88
"2014-10-05",243,16,0,256
"2014-10-06",223,12,1,229
"2014-10-07",214,10,0,220
"2014-10-08",300,12,1,310
"2014-10-09",873,28,0,889
"2014-10-10",629,23,0,648
"2014-10-11",1222,47,0,1253
"2014-10-12",678,25,0,695
"2014-10-13",710,83,0,742
"2014-10-14",889,46,0,923
"2014-10-15",415,23,0,431
"2014-10-16",274,18,0,287
"2014-10-17",298,9,0,306
"2014-10-18",260,12,0,269
"2014-10-19",186,9,0,192
"2014-10-20",155,15,0,166
"2014-10-21",213,9,0,220
"2014-10-22",995,78,0,1043
"2014-10-23",749,50,1,781
"2014-10-24",335,17,0,349
"2014-10-25",439,23,0,458
"2014-10-26",292,23,0,308
"2014-10-27",217,17,0,230
"2014-10-28",191,20,0,207
"2014-10-29",240,51,0,287
"2014-10-30",298,56,0,351
"2014-10-31",160,22,0,179
"2014-11-01",338,13,0,346
"2014-11-02",149,10,0,158
"2014-11-03",144,17,0,156
"2014-11-04",135,25,0,156
"2014-11-05",111,18,0,124
"2014-11-06",134,14,1,145
"2014-11-07",159,17,0,175
"2014-11-08",131,20,0,144
"2014-11-09",112,23,0,131
"2014-11-10",184,24,0,200
"2014-11-11",173,35,0,206
"2014-11-12",164,22,0,181
"2014-11-13",219,12,0,228
"2014-11-14",171,8,0,177
"2014-11-15",205,39,0,242
"2014-11-16",186,24,1,204
"2014-11-17",284,16,1,296
"2014-11-18",440,33,3,464
"2014-11-19",373,47,2,404
"2014-11-20",249,22,0,266
"2014-11-21",421,26,0,439
"2014-11-22",251,32,0,273
"2014-11-23",415,25,1,433
"2014-11-24",1334,120,0,1427
"2014-11-25",42162,5228,8,45544
"2014-11-26",15584,1980,6,16839
"2014-11-27",6333,969,3,6936
"2014-11-28",6893,748,1,7437
"2014-11-29",5060,638,2,5490
"2014-11-30",3525,414,2,3785
"2014-12-01",4692,626,3,5107
"2014-12-02",4420,521,4,4803
"2014-12-03",17943,1208,7,18730
"2014-12-04",39000,4201,38,41655
"2014-12-05",27574,3127,7,29477
"2014-12-06",16943,2152,17,18246
"2014-12-07",12899,1393,25,13872
"2014-12-08",13590,1494,25,14621
"2014-12-09",12821,1535,16,13845
"2014-12-10",11610,2160,10,13357
"2014-12-11",10891,2030,137,12397
"2014-12-12",8610,1042,146,9435
"2014-12-13",25089,2591,94,26788
"2014-12-14",21083,3116,157,23025
"2014-12-15",10600,1462,735,12188
"2014-12-16",10778,1347,359,12038
"2014-12-17",7646,982,160,8426
"2014-12-18",6020,697,96,6569
"2014-12-19",6405,622,377,7166
"2014-12-20",8956,1521,1117,11157
"2014-12-21",12245,9618,4034,23604
"2014-12-22",8930,4453,1549,13648
"2014-12-23",7707,2944,919,10591
"2014-12-24",14419,3775,689,17636
"2014-12-25",3763,1141,302,4790
"2014-12-26",4209,1167,267,5261
"2014-12-27",5626,1635,939,7659
"2014-12-28",5456,1493,655,6942
"2014-12-29",5632,1101,453,6759
"2014-12-30",4912,1312,391,6154
"2014-12-31",5271,1129,396,6383
"2015-01-01",4685,823,373,5621
"2015-01-02",4113,833,332,5024
"2015-01-03",3283,729,336,4063
"2015-01-04",2986,833,662,4122
"2015-01-05",3980,661,321,4722
"2015-01-06",4562,653,495,5502
"2015-01-07",4589,816,295,5512
"2015-01-08",4088,683,270,4892
"2015-01-09",4162,649,439,5103
"2015-01-10",3867,683,175,4593
"2015-01-11",3228,582,99,3802
"2015-01-12",4125,814,129,4916
"2015-01-13",3715,1267,125,4890
"2015-01-14",3342,837,127,4165
"2015-01-15",5222,927,117,6098
"2015-01-16",4597,580,78,5108
"2015-01-17",3374,486,130,3890
"2015-01-18",3674,471,205,4224
"2015-01-19",8813,960,99,9558
"2015-01-20",4098,570,74,4540
"2015-01-21",4891,942,95,5704
"2015-01-22",3148,551,84,3672
"2015-01-23",2460,370,67,2821
"2015-01-24",2419,314,58,2724
"2015-01-25",2090,394,48,2441
"2015-01-26",2006,304,66,2300
"2015-01-27",1907,319,70,2236
"2015-01-28",2437,300,42,2710
"2015-01-29",2184,237,39,2399
"2015-01-30",2035,228,44,2248
"2015-01-31",1905,253,30,2136
"2015-02-01",2964,309,22,3212
"2015-02-02",1992,223,29,2191
"2015-02-03",2321,229,30,2527
"2015-02-04",2980,201,37,3179
"2015-02-05",2585,234,37,2803
"2015-02-06",2599,605,33,3178
"2015-02-07",2341,521,34,2838
"2015-02-08",1566,432,29,1978
"2015-02-09",7061,1320,37,8164
"2015-02-10",3098,587,28,3620
"2015-02-11",3801,4417,28,7708
"2015-02-12",3177,3351,28,6117
"2015-02-13",2555,1636,21,4029
"2015-02-14",2400,1156,32,3477
"2015-02-15",1852,1029,20,2812
"2015-02-16",2158,1077,22,3157
"2015-02-17",2124,892,72,2995
"2015-02-18",2252,875,22,3086
"2015-02-19",2159,700,43,2858
"2015-02-20",2277,648,35,2907
"2015-02-21",2306,651,52,2972
"2015-02-22",2041,526,34,2546
"2015-02-23",3079,578,20,3570
"2015-02-24",1838,278,13,2074
"2015-02-25",1865,237,14,2074
"2015-02-26",2400,509,21,2817
"2015-02-27",2328,414,14,2683
"2015-02-28",0,0,0,0
"2015-03-01",1708,296,27,1992
"2015-03-02",1962,285,33,2227
"2015-03-03",1849,287,27,2121
"2015-03-04",1984,304,67,2250
"2015-03-05",2385,274,55,2650
"2015-03-06",7209,517,129,7572
"2015-03-07",4691,557,69,5204
"2015-03-08",3131,538,35,3593
"2015-03-09",3854,571,52,4332
"2015-03-10",4278,597,37,4789
"2015-03-11",3036,590,44,3586
"2015-03-12",3323,1174,2150,6208
"2015-03-13",2315,582,1025,3680
"2015-03-14",1581,318,334,2154
"2015-03-15",1545,252,239,1964
"2015-03-16",1588,301,150,1981
"2015-03-17",1662,277,93,1976
"2015-03-18",2245,295,79,2541
"2015-03-19",7553,562,68,8044
"2015-03-20",2651,382,62,3000
"2015-03-21",2021,271,47,2268
"2015-03-22",1532,234,63,1760
"2015-03-23",1450,257,75,1725
"2015-03-24",1571,301,50,1858
"2015-03-25",2076,280,212,2504
"2015-03-26",1644,236,62,1882
"2015-03-27",1365,200,106,1630
"2015-03-28",1348,236,216,1732
"2015-03-29",1119,314,148,1498
"2015-03-30",1523,278,75,1817
"2015-03-31",1466,213,87,1704
"2015-04-01",1661,272,41,1920
"2015-04-02",1549,239,49,1789
"2015-04-03",1871,239,38,2095
"2015-04-04",1566,179,33,1741
"2015-04-05",1438,230,27,1644
"2015-04-06",1668,426,33,2068
"2015-04-07",2301,358,35,2627
"2015-04-08",10964,1476,83,12050
"2015-04-09",7421,1618,73,8675
"2015-04-10",4669,643,60,5191
"2015-04-11",2376,405,43,2710
"2015-04-12",3573,519,48,3984
"2015-04-13",4024,516,39,4411
"2015-04-14",4401,510,40,4799
"2015-04-15",2955,483,35,3325
"2015-04-16",2181,348,38,2474
"2015-04-17",2109,258,45,2344
"2015-04-18",1810,259,195,2183
"2015-04-19",2009,243,41,2211
"2015-04-20",2949,473,35,3315
"2015-04-21",3051,453,21,3389
"2015-04-22",3120,422,52,3480
"2015-04-23",2623,406,24,2947
"2015-04-24",2490,383,39,2798
"2015-04-25",3115,468,31,3458
"2015-04-26",5283,892,74,5972
"2015-04-27",7606,2568,393,9993
"2015-04-28",21376,6535,662,26922
"2015-04-29",12359,2890,248,14582
